id,title,channel,channel_type,url,duration,published,views_checked,description_summary,language,tradition_genre,intended_categories,playlist_fit,evidence_label,claim_risk,rights_status,embed_or_link,last_checked,readiness_state,notes
CHANT-001,"Syriac Orthodox Prayer ""Abun D'Bashmayo"" (The Lord's Prayer)",ProjectSyriac,independent_creator,https://www.youtube.com/watch?v=v_nJg3N3p9I,3:54,unknown,1875218,The Lord's Prayer (Abun D'Bashmayo). Beautifully sung in the language Jesus Christ taught his disciples this exact prayer.,Aramaic,Syriac Christian Chant,C02 Connection to Source;C21 Morning Orientation,Sacred Recitation,TRADITIONAL_PRACTICE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,High quality Syriac Orthodox chant
CHANT-002,Singing the LORD'S PRAYER in ARAMAIC with Syriac monks,Harpa Dei,independent_creator,https://www.youtube.com/watch?v=wABSYi8Kjtg,2:07,unknown,1180595,In Jerusalem recording with Syrian monks in their church,unknown,Syriac Chant,C02 Connection to Source,Sacred Recitation,TRADITIONAL_PRACTICE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Authentic Syriac chant setting
CHANT-003,Psalm 104 sung in ancient Hebrew,Yamma Ensemble,independent_creator,https://www.youtube.com/watch?v=--UABwqW9Sg,4:39,unknown,11316339,Yamma Ensemble - Global Hebrew & Jewish music: traditional,Hebrew,Jewish Psalmody,C02 Connection to Source;C27 Celebration & Thanksgiving,Sacred Recitation,TRADITIONAL_PRACTICE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Professional ensemble traditional Hebrew psalmody
CHANT-004,Shema Yisrael - The Official Jewish Call To Prayer,Yaacov Hanokaee,independent_creator,https://www.youtube.com/watch?v=oDerYmk3SJ0,3:28,unknown,1414920,The Shema in Hebrew - traditional Jewish call to prayer,Hebrew,Jewish Prayer,C02 Connection to Source;C05 Protection & Spiritual Boundaries,Sacred Recitation,TRADITIONAL_PRACTICE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Core Jewish prayer text
CHANT-005,Gregorian Chants by the Benedictine monks of St Maurice and Saint Maur Clervaux Luxembourg,Stephen2006,independent_creator,https://www.youtube.com/watch?v=jGZT--t8iW8,2:24:21,unknown,220415,Gregorian Chants from Benedictine monks,unknown,Gregorian Chant,C02 Connection to Source;C07 Deep Restoration,Sacred Recitation,TRADITIONAL_PRACTICE,low,uncertain,embed,2026-07-22,needs_rights_review,Monastic recording unclear rights status
CHANT-006,Gregorian Chants of the Benedictine Monks | Christian Music for Spiritual Meditation,The Ancient Gregorian Chants,independent_creator,https://www.youtube.com/watch?v=c79SszUBZUE,54:00,unknown,1995128,Gregorian Chants for meditation on digital platforms,unknown,Gregorian Chant,C01 Grounding & Stillness;C07 Deep Restoration,Sacred Recitation,TRADITIONAL_PRACTICE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Available on digital platforms suggests official release
CHANT-007,Monks singing Gregorian Chant in a Catholic Benedictine Seminary,aranflewen,independent_creator,https://www.youtube.com/watch?v=CBwh1OXw6uI,3:38,unknown,2285392,Catholic Church majesty in chant,unknown,Gregorian Chant,C02 Connection to Source,Sacred Recitation,TRADITIONAL_PRACTICE,low,uncertain,embed,2026-07-22,needs_rights_review,Authentic seminary recording unclear rights
CHANT-008,Gregorian Chant for Protection & Peace | Psalm 91 (Refugium In Altissimis),Gregorian Chanting,independent_creator,https://www.youtube.com/watch?v=z96qe75LOF8,30:01,unknown,6272094,Psalm 91 Gregorian chant for protection and peace,unknown,Gregorian Chant,C05 Protection & Spiritual Boundaries,Sacred Recitation,TRADITIONAL_PRACTICE,medium,likely_official,embed,2026-07-22,needs_theological_or_cultural_review,Protection framing needs theological review
CHANT-009,The Greek Byzantine Choir - The Era of Byzantion - Byzantine Hymns,Orthodox Christian,independent_creator,https://www.youtube.com/watch?v=mJu8iYA4vds,1:07:07,unknown,602520,Byzantine Hymns from Greek Byzantine Choir,Greek,Byzantine Chant,C02 Connection to Source,Sacred Recitation,TRADITIONAL_PRACTICE,low,uncertain,embed,2026-07-22,needs_rights_review,Professional choir unclear rights
CHANT-010,Healing Prayer from Mount Athos - Byzantine Orthodox Chant for the Sick & Suffering,Holy Mount Athos Chants,independent_creator,https://www.youtube.com/watch?v=cpNZOTdUl2A,1:37:18,unknown,503478,Byzantine Orthodox chant for healing support,unknown,Byzantine Chant,C02 Connection to Source;C10 Grief & Lament,Sacred Recitation,TRADITIONAL_PRACTICE,medium,uncertain,link,2026-07-22,needs_claim_review,Healing framing needs careful review - prayer for sick is traditional but claims need checking
CHANT-011,Orthodox Chants Relaxing Christian Music for Praise and Worship,Sound of Prayers,independent_creator,https://www.youtube.com/watch?v=b1BQ8ybGQIw,8:37:52,unknown,2529546,8 Hours Orthodox Christian Music for praise worship calming relaxation,unknown,Byzantine Chant,C01 Grounding & Stillness;C07 Deep Restoration;C20 Sleep & Rest,Sacred Recitation,TRADITIONAL_PRACTICE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Long-form suitable for sleep and deep restoration
CHANT-012,Taize: Ubi caritas,ST. BART'S,institution,https://www.youtube.com/watch?v=z9zvDBPkgOk,3:24,unknown,154406,Ubi caritas Taize chant by Jacques Berthier 1923-1994,Latin,Taize Chant,C02 Connection to Source,Sacred Recitation,TRADITIONAL_PRACTICE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Authentic Taize community composition
CHANT-013,Taize - O Lord Hear My Prayer,LTB,independent_creator,https://www.youtube.com/watch?v=LKyU5BIlxc0,7:43,unknown,247879,Beautiful Taize Chant by St Thomas Music Group,unknown,Taize Chant,C02 Connection to Source,Sacred Recitation,TRADITIONAL_PRACTICE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Well-known Taize chant
CHANT-014,Nothing Can Trouble Taize Chant,Philtime,independent_creator,https://www.youtube.com/watch?v=g8zog4nM0zs,2:56,unknown,16892,This version by Spring Harvest Worship Group,English,Taize Chant,C10 Grief & Lament,Sacred Recitation,TRADITIONAL_PRACTICE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Suitable for grief and lament
CHANT-015,Stay With Me (Remain Here With Me) | Taize Chant | Lent,Sunday 7pm Choir | Catholic & Christian Choral Music,independent_creator,https://www.youtube.com/watch?v=OBh-n5qyXBc,6:16,unknown,167612,Meditative Taize song of prayer to the Lord,Latin,Taize Chant,C10 Grief & Lament;C02 Connection to Source,Sacred Recitation,TRADITIONAL_PRACTICE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Lent and grief appropriate
AMBIENT-001,Alone With GOD: 3 Hour Piano Worship Music for Prayer & Meditation,DappyTKeys,independent_creator,https://www.youtube.com/watch?v=fOB73qRVGJs,3:04:06,unknown,52420555,Christian Piano Worship Music for Prayer and Meditation,unknown,Contemporary Christian Piano,C01 Grounding & Stillness;C02 Connection to Source;C07 Deep Restoration,Instrumental Concentration,EXPERIENTIAL_CLAIM,low,likely_official,embed,2026-07-22,ready_for_editorial_review,High view count suggests quality content
AMBIENT-002,Perfect Peace of God: Prayer Meditation & Relaxation Music,DappyTKeys,independent_creator,https://www.youtube.com/watch?v=N5diRJZe2Wc,2:02:27,unknown,693363,Christian piano music with God's promises and nature scenes,unknown,Contemporary Christian Piano,C01 Grounding & Stillness;C20 Sleep & Rest,Instrumental Concentration,EXPERIENTIAL_CLAIM,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Nature scenes integrated
AMBIENT-003,IN HIS PRESENCE - Soaking worship instrumental | Prayer and Devotional,Central Record,independent_creator,https://www.youtube.com/watch?v=XhASEIFbdkI,1:03:29,unknown,3283652,Soaking worship instrumental for prayer and devotional,unknown,Contemporary Christian Worship,C02 Connection to Source;C07 Deep Restoration,Instrumental Concentration,EXPERIENTIAL_CLAIM,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Soaking music genre appropriate for contemplative use
AMBIENT-004,Deep Prayer Music : 4 Hours Atmosphere Changer,Jacob Agendia,independent_creator,https://www.youtube.com/watch?v=vzGpVce0Puk,4:11:41,unknown,2213118,Instrumental Worship Music for Prayer Meditation Deep Healing Study Rest Reflection Relaxation,unknown,Contemporary Christian Ambient,C01 Grounding & Stillness;C07 Deep Restoration;C20 Sleep & Rest,Instrumental Concentration,EXPERIENTIAL_CLAIM,medium,likely_official,embed,2026-07-22,needs_claim_review,Deep Healing claim needs review
AMBIENT-005,QUIET GRACE | Deep Meditation Music for Spiritual Clarity & Balance (444Hz),Zen Celesta,independent_creator,https://www.youtube.com/watch?v=YW5m4loqqm0,1:00:00,unknown,875666,Deep meditation music at 444Hz designed to enhance spiritual clarity and balance,unknown,Ambient Meditation,C01 Grounding & Stillness;C04 Clarity & Discernment,Instrumental Concentration,EXPERIENTIAL_CLAIM,low,likely_official,embed,2026-07-22,ready_for_editorial_review,444Hz tuning descriptor modest framing
AMBIENT-006,The Beauty of Silence | Felt Piano & Ethereal Strings,The Lonely Piano,independent_creator,https://www.youtube.com/watch?v=SohJShw7HWw,1:00:29,unknown,175870,Cinematic piano journey for tranquil harbor deep focus creative clarity mindful,unknown,Minimalist Piano,C01 Grounding & Stillness;C15 Creativity & Inspired Work,Instrumental Concentration,EXPERIENTIAL_CLAIM,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Excellent for creativity and focus
AMBIENT-007,Relaxing Piano Music for Contemplation Calming Peaceful Music Calm Chords Meditation,Calm Chords,independent_creator,https://www.youtube.com/watch?v=vdr_tTTuQmU,1:01:11,unknown,1027,Relaxing Piano Music for Contemplation Calming Piano Music,unknown,Minimalist Piano,C01 Grounding & Stillness;C04 Clarity & Discernment,Instrumental Concentration,EXPERIENTIAL_CLAIM,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Low views but appropriate content
AMBIENT-008,piano meditations #12 [satya patchouli] 45mins in 432Hz - Michael Geldreich,PIANO MEDITATIONS (Michael Geldreich),independent_creator,https://www.youtube.com/watch?v=3dhShorDjOg,47:39,unknown,227745,Piano meditation improvisation in 432Hz,unknown,Minimalist Piano,C01 Grounding & Stillness,Instrumental Concentration,EXPERIENTIAL_CLAIM,low,likely_official,embed,2026-07-22,ready_for_editorial_review,432Hz as tuning descriptor modest framing
AMBIENT-009,Minimalist Piano Music for Studying and Focus | 90 Minutes Philip Glass Style,Drive Through Music,independent_creator,https://www.youtube.com/watch?v=kQm2Lh4xRNU,1:31:23,unknown,383,Minimalist Piano Philip Glass Style for Deep Focus,unknown,Minimalist Piano,C15 Creativity & Inspired Work,Instrumental Concentration,EXPERIENTIAL_CLAIM,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Contemporary minimalist style
AMBIENT-010,Terry Riley The Harp of New Albion Minimalism Myth & Meditation,Melodic Muse,independent_creator,https://www.youtube.com/watch?v=CShTPvmx30s,1:50:07,unknown,64,Terry Riley landmark work of minimalist music blending repetition meditation,unknown,Minimalist Contemporary,C25 Planetary & Cosmic Contemplation,Instrumental Concentration,EXPERIENTIAL_CLAIM,low,uncertain,link,2026-07-22,needs_rights_review,Contemporary classical work rights unclear
NATURE-001,Rainforest Ambience: Rain Sounds Jungle Animals and Thunder in the Distance,Relaxing Guru,independent_creator,https://www.youtube.com/watch?v=OnQtuOlJBoY,10:09:53,unknown,3099740,Peaceful sounds of rainforest raindrops falling on leaves jungle animals thunder,unknown,Nature Soundscape,C01 Grounding & Stillness;C07 Deep Restoration;C20 Sleep & Rest,Nature Sounds,SCIENTIFIC_EVIDENCE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Long-form nature soundscape
NATURE-002,Ocean Sounds and Forest Nature Sound: Meditation Sleep,321 Relaxing - Meditation Relax Clips,independent_creator,https://www.youtube.com/watch?v=ySL3NllIhfA,8:18:36,unknown,8309356,Relaxing nature sounds soothing sleep ocean waves calming forest nature sounds,unknown,Nature Soundscape,C01 Grounding & Stillness;C20 Sleep & Rest,Nature Sounds,SCIENTIFIC_EVIDENCE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Combined ocean and forest sounds
NATURE-003,Rain Sound and Rainforest Animals Sound - Relaxing Sleep,321 Relaxing - Meditation Relax Clips,independent_creator,https://www.youtube.com/watch?v=8myYyMg1fFE,2:18:42,unknown,25417028,Relaxing sounds of rainforest animals waterfall and rain sound,unknown,Nature Soundscape,C20 Sleep & Rest,Nature Sounds,SCIENTIFIC_EVIDENCE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,High view count nature soundscape
NATURE-004,Ocean Ambience on a Tropical Island Maldives with Soothing Waves,Relaxing Soundzzz,independent_creator,https://www.youtube.com/watch?v=Nep1qytq9JM,8:00:10,unknown,19139721,Tropical island ocean waves paradise view for relaxation,unknown,Nature Soundscape,C25 Planetary & Cosmic Contemplation;C20 Sleep & Rest,Nature Sounds,SCIENTIFIC_EVIDENCE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,High quality tropical ocean ambience
NATURE-005,Mountain Rain & Thunderstorm Sleep Sounds - Ambient Noise,Ultimate Ambient Noise Soundzzz,independent_creator,https://www.youtube.com/watch?v=Qo4JIT8jMtI,10:48:11,unknown,33677262,Mountain rain thunderstorm sleep sounds hiking mountain top rush,unknown,Nature Soundscape,C01 Grounding & Stillness;C20 Sleep & Rest,Nature Sounds,SCIENTIFIC_EVIDENCE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Very high view count storm sounds
NATURE-006,Moody Stormy Night on a Lake in the Woods | Soothing Rain & Thunder sounds,Outdoor Therapy,independent_creator,https://www.youtube.com/watch?v=gQXYyfN_U3U,10:10:10,unknown,2471967,Quiet lake forest slow moving thunderstorm rain falls steadily,unknown,Nature Soundscape,C01 Grounding & Stillness;C10 Grief & Lament;C20 Sleep & Rest,Nature Sounds,SCIENTIFIC_EVIDENCE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Atmospheric storm sounds suitable for grief
NATURE-007,Heavy Rain & Big Ocean Waves Rainstorm Sounds White Noise,Relaxing White Noise,independent_creator,https://www.youtube.com/watch?v=v4C4keiF0tQ,10:10:37,unknown,5549318,Heavy rain big ocean waves white noise for sleeping studying relaxing,unknown,Nature Soundscape,C20 Sleep & Rest,Nature Sounds,SCIENTIFIC_EVIDENCE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Combined rain and ocean sounds
NATURE-008,Relaxing Rain Noise + Forest Stream Water Sounds for Sleeping,Relaxing White Noise,independent_creator,https://www.youtube.com/watch?v=4bskZYoO0N0,10:00:37,unknown,11425374,Relaxing rain noise forest stream water sounds for sleeping,unknown,Nature Soundscape,C20 Sleep & Rest,Nature Sounds,SCIENTIFIC_EVIDENCE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,High quality rain and stream combination
NATURE-009,Forest River Nature Sounds - Gentle Stream with Birdsong,Naturescapes,independent_creator,https://www.youtube.com/watch?v=29XymHesxa0,3:00:00,unknown,3527028,Forest river gentle stream with birdsong 4K relaxing nature ambience,unknown,Nature Soundscape,C01 Grounding & Stillness;C20 Sleep & Rest,Nature Sounds,SCIENTIFIC_EVIDENCE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,Naturescapes brand suggests professional quality
HZ-001,piano meditations #12 [satya patchouli] 45mins in 432Hz - Michael Geldreich,PIANO MEDITATIONS (Michael Geldreich),independent_creator,https://www.youtube.com/watch?v=3dhShorDjOg,47:39,unknown,227745,Piano meditation improvisation in 432Hz,unknown,432Hz Ambient,C24 Subtle-energy Contemplation,Exploration,PRELIMINARY_EVIDENCE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,432Hz as tuning descriptor only modest claims
HZ-002,QUIET GRACE | Deep Meditation Music for Spiritual Clarity & Balance (444Hz),Zen Celesta,independent_creator,https://www.youtube.com/watch?v=YW5m4loqqm0,1:00:00,unknown,875666,Deep meditation music at 444Hz designed to enhance,unknown,444Hz Ambient,C04 Clarity & Discernment,Exploration,PRELIMINARY_EVIDENCE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,444Hz modest framing spiritual clarity
HZ-003,Gregorian Chant in Christ's Peace & Love 432Hz No Ads,Gregorian Chanting,independent_creator,https://www.youtube.com/watch?v=qWWABuC56Wo,3:00:01,unknown,2077514,Ad-free Gregorian chant at 432Hz for peace and love in Christ,unknown,432Hz Gregorian,C02 Connection to Source,Exploration,PRELIMINARY_EVIDENCE,low,likely_official,embed,2026-07-22,ready_for_editorial_review,432Hz tuning descriptor with traditional chant
HZ-004,432Hz Deepest Healing Frequency Music NO PIANO Emotional Mental Recovery,Inner Lotus Music,independent_creator,https://www.youtube.com/watch?v=4tMUTrzoN8M,3:33:33,unknown,206268,Powerful effects of 432Hz healing frequency music for deep sleep stress relief emotional recovery,unknown,432Hz Healing,C20 Sleep & Rest,Exploration,COMMERCIALLY_POPULAR_BUT_UNSUBSTANTIATED,high,likely_official,link,2026-07-22,blocked,"Healing frequency ""emotional recovery"" overclaimed - BLOCKED"
HZ-005,432Hz- Alpha Waves Heal The Whole Body and Spirit Emotional Physical Mental Spiritual Healing,Healing Energy for Soul,independent_creator,https://www.youtube.com/watch?v=u3papaX85MA,11:55:00,unknown,60531663,Alpha wave music that can heal the body and soul,unknown,432Hz Alpha Waves,C24 Subtle-energy Contemplation,Exploration,CONTRADICTED_OR_MISLEADING,high,likely_official,link,2026-07-22,blocked,Heal the whole body and spirit medical claim - BLOCKED
HZ-006,Healing Forest 432Hz Healing Music for Deep Sleep Meditation Focus Relaxation,FanTaisia Ambience,independent_creator,https://www.youtube.com/watch?v=hfPaG6GZdhY,8:00:01,unknown,188644,Healing frequencies of nature with 8-hour ambience for deep relaxation,unknown,432Hz Nature,C20 Sleep & Rest,Exploration,COMMERCIALLY_POPULAR_BUT_UNSUBSTANTIATED,high,likely_official,link,2026-07-22,blocked,Healing frequencies overclaimed medical language - BLOCKED
HZ-007,432Hz Healing Sleep Music Heal Damage In The Body Emotional Physical Healing,Celestial Calm,independent_creator,https://www.youtube.com/watch?v=bs5PGObT0EI,11:54:58,unknown,2940806,Heal damage in the body emotional physical healing,unknown,432Hz Healing,C20 Sleep & Rest,Exploration,CONTRADICTED_OR_MISLEADING,blocked,likely_official,link,2026-07-22,blocked,Heal damage in the body explicit medical claim - BLOCKED
HZ-008,Inner Balance 432Hz + 111Hz Healing Calm Inner Peace Release All Blockages,Inner Lotus Music,independent_creator,https://www.youtube.com/watch?v=C9hMaqQFKXk,3:33:33,unknown,38651356,Natural frequency of 432Hz called Earth frequency everything in Universe resonates,unknown,432Hz 111Hz,C24 Subtle-energy Contemplation,Exploration,COMMERCIALLY_POPULAR_BUT_UNSUBSTANTIATED,high,likely_official,link,2026-07-22,blocked,"Earth frequency ""release all blockages"" pseudoscientific - BLOCKED"
HZ-009,432Hz Angelic HEALING Raise Positive Vibes Stress Relief Spiritual Connection,Meditative Mind,independent_creator,https://www.youtube.com/watch?v=R3tssXZwSdE,11:11:11,unknown,278533,Boost positive energy vibrations with 432Hz angelic healing frequencies,unknown,432Hz Angelic,C24 Subtle-energy Contemplation,Exploration,COMMERCIALLY_POPULAR_BUT_UNSUBSTANTIATED,high,likely_official,link,2026-07-22,blocked,"Angelic healing ""positive energy vibrations"" unsubstantiated - BLOCKED"
HZ-010,432Hz Tibetan Healing Flute Heals The Whole Body Emotional Physical Mental Spiritual Healing,Inner Peace and Meditation,independent_creator,https://www.youtube.com/watch?v=oQPSybA-81Q,4:03:46,unknown,799895,432Hz Tibetan Healing Flute heals the whole body,unknown,432Hz Tibetan,C24 Subtle-energy Contemplation,Exploration,CONTRADICTED_OR_MISLEADING,blocked,likely_official,link,2026-07-22,blocked,Heals the whole body explicit medical claim - BLOCKED
HZ-011,528 Hz Positive Transformation Emotional Physical Healing Anti Anxiety Rebirth,Music for Body and Spirit - Meditation Music,independent_creator,https://www.youtube.com/watch?v=ZQkBmCJG9i8,3:09:30,unknown,38326620,528 Hz positive transformation emotional physical healing anti anxiety rebirth,unknown,528Hz Solfeggio,C24 Subtle-energy Contemplation,Exploration,COMMERCIALLY_POPULAR_BUT_UNSUBSTANTIATED,high,likely_official,link,2026-07-22,blocked,Emotional physical healing medical claim - BLOCKED
